sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),minutelyAvgScore: (average percent cycle value in minute),timestampStart: unix,timestampStart: unix
,,1137,thinking,,,,
,,1138,thinking,,,,
,,1139,thinking,,,,
,,1131,thinking,,,,
,,1132,thinking,,,,
,,1133,thinking,,,,
,,1134,thinking,,,,
,,1134,thinking,,,,
,,1136,thinking,,,,
,,1137,thinking,,,,
,,1139,thinking,,,,
,,1141,thinking,,,,
,,1144,thinking,,,,
,,1146,thinking,,,,
,,1147,thinking,,,,
,,1150,thinking,,,,
,,1153,thinking,,,,
,,1155,thinking,,,,
,,1158,thinking,,,,
,,1160,thinking,,,,
,,1162,thinking,,,,
,,1164,thinking,,,,
,,1166,thinking,,,,
,,1168,thinking,,,,
,,1169,thinking,,,,
,,1171,thinking,,,,
,,1172,thinking,,,,
,,1173,thinking,,,,
,,1175,thinking,,,,
,,1177,thinking,,,,
,,1178,thinking,,,,
,,1179,thinking,,,,
,,1180,thinking,,,,
,,1181,thinking,,,,
,,1182,thinking,,,,
,,1183,thinking,,,,
,,1184,thinking,,,,
,,1186,thinking,,,,
,,1187,thinking,,,,
,,1170,thinking,,,,
,,1171,thinking,,,,
,,1173,thinking,,,,
,,1176,thinking,,,,
,,1177,thinking,,,,
,,1178,thinking,,,,
,,1179,thinking,,,,
,,1180,thinking,,,,
,,1180,thinking,,,,
,,1176,thinking,,,,
,,1176,thinking,,,,
,,1178,thinking,,,,
,,1179,thinking,,,,
,,1179,thinking,,,,
,,1180,thinking,,,,
,,1183,thinking,,,,
,,1183,thinking,,,,
,,1184,thinking,,,,
,,1173,thinking,,,,
,,1174,thinking,,,,
,,1175,thinking,,,,
,,1176,thinking,,,,
,,1180,thinking,,,,
,,1182,thinking,,,,
,,1183,thinking,,,,
,,1184,thinking,,,,
,,1186,thinking,,,,
,,1188,thinking,,,,
,,1190,thinking,,,,
,,1191,thinking,,,,
,,1192,thinking,,,,
,,1194,thinking,,,,
,,1195,thinking,,,,
,,1176,thinking,,,,
,,1178,thinking,,,,
,,1180,thinking,,,,
,,1182,thinking,,,,
,,1183,thinking,,,,
,,1184,thinking,,,,
,,1185,thinking,,,,
,,1186,thinking,,,,
,,1187,thinking,,,,
,,1183,thinking,,,,
,,1184,thinking,,,,
,,1184,thinking,,,,
,,1182,thinking,,,,
,,1163,thinking,,,,
,,1106,thinking,,,,
,,946,thinking,,,,
,,949,thinking,,,,
,,952,thinking,,,,
,,954,thinking,,,,
,,956,thinking,,,,
,,960,thinking,,,,
,,966,thinking,,,,
,,971,thinking,,,,
,,973,thinking,,,,
,,974,thinking,,,,
,,977,thinking,,,,
,,981,thinking,,,,
,,984,thinking,,,,
,,988,thinking,,,,
,,994,thinking,,,,
,,1000,thinking,,,,
,,1005,thinking,,,,
,,1010,thinking,,,,
,,1015,thinking,,,,
,,1020,thinking,,,,
,,1026,thinking,,,,
,,1032,thinking,,,,
,,1036,thinking,,,,
,,1043,thinking,,,,
,,1048,thinking,,,,
,,1054,thinking,,,,
,,1059,thinking,,,,
,,1064,thinking,,,,
,,1069,thinking,,,,
,,1074,thinking,,,,
,,1077,thinking,,,,
,,1079,thinking,,,,
,,1082,thinking,,,,
,,1084,thinking,,,,
,,1087,thinking,,,,
,,1089,thinking,,,,
,,1091,thinking,,,,
,,1093,thinking,,,,
,,1094,thinking,,,,
,,1096,thinking,,,,
,,1098,thinking,,,,
,,1100,thinking,,,,
,,1100,thinking,,,,
,,994,thinking,,,,
,,999,thinking,,,,
,,1003,thinking,,,,
,,1009,thinking,,,,
,,1014,thinking,,,,
,,1018,thinking,,,,
,,1020,thinking,,,,
,,1023,thinking,,,,
,,1026,thinking,,,,
,,1029,thinking,,,,
,,1032,thinking,,,,
,,1035,thinking,,,,
,,1037,thinking,,,,
,,1041,thinking,,,,
,,1043,thinking,,,,
,,1046,thinking,,,,
,,1049,thinking,,,,
,,1052,thinking,,,,
,,1057,thinking,,,,
,,1061,thinking,,,,
,,1065,thinking,,,,
,,1069,thinking,,,,
,,1073,thinking,,,,
,,1075,thinking,,,,
,,1079,thinking,,,,
,,1082,thinking,,,,
,,1084,thinking,,,,
,,1086,thinking,,,,
,,1088,thinking,,,,
,,1090,thinking,,,,
,,1092,thinking,,,,
,,1094,thinking,,,,
,,1096,thinking,,,,
,,1098,thinking,,,,
,,1100,thinking,,,,
,,1101,thinking,,,,
,,1105,thinking,,,,
,,1107,thinking,,,,
,,1109,thinking,,,,
,,1110,thinking,,,,
,,1111,thinking,,,,
,,1112,thinking,,,,
,,1113,thinking,,,,
,,1115,thinking,,,,
,,1115,thinking,,,,
,,1117,thinking,,,,
,,1120,thinking,,,,
,,1121,thinking,,,,
,,1123,thinking,,,,
,,1124,thinking,,,,
,,1126,thinking,,,,
,,1127,thinking,,,,
,,1129,thinking,,,,
,,1130,thinking,,,,
,,1131,thinking,,,,
,,1133,thinking,,,,
,,1135,thinking,,,,
,,1137,thinking,,,,
,,1139,thinking,,,,
