sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),timestampStart: unix,timestampStart: unix
,,907,thinking,,,
,,908,thinking,,,
,,909,thinking,,,
,,911,thinking,,,
,,913,thinking,,,
,,915,thinking,,,
,,916,thinking,,,
,,918,thinking,,,
,,920,thinking,,,
,,921,thinking,,,
,,923,thinking,,,
,,925,thinking,,,
,,928,thinking,,,
,,929,thinking,,,
,,931,thinking,,,
,,932,thinking,,,
,,933,thinking,,,
,,934,thinking,,,
,,935,thinking,,,
,,936,thinking,,,
,,937,thinking,,,
,,940,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,952,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,957,thinking,,,
,,958,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,956,thinking,,,
,,957,thinking,,,
,,958,thinking,,,
,,959,thinking,,,
,,959,thinking,,,
,,959,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,951,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,956,thinking,,,
,,956,thinking,,,
,,958,thinking,,,
,,959,thinking,,,
,,961,thinking,,,
,,963,thinking,,,
,,965,thinking,,,
,,966,thinking,,,
,,968,thinking,,,
,,969,thinking,,,
,,970,thinking,,,
,,970,thinking,,,
,,966,thinking,,,
,,967,thinking,,,
,,957,thinking,,,
,,958,thinking,,,
,,959,thinking,,,
,,961,thinking,,,
,,961,thinking,,,
,,959,thinking,,,
,,960,thinking,,,
,,850,thinking,,,
,,856,thinking,,,
,,872,thinking,,,
,,888,thinking,,,
,,904,thinking,,,
,,917,thinking,,,
,,929,thinking,,,
,,940,thinking,,,
,,950,thinking,,,
,,958,thinking,,,
,,966,thinking,,,
,,974,thinking,,,
,,980,thinking,,,
,,985,thinking,,,
,,990,thinking,,,
,,995,thinking,,,
,,999,thinking,,,
,,1003,thinking,,,
,,1007,thinking,,,
,,1011,thinking,,,
,,1014,thinking,,,
,,1017,thinking,,,
,,1017,thinking,,,
,,1020,thinking,,,
,,1023,thinking,,,
,,1024,thinking,,,
,,1025,thinking,,,
,,1027,thinking,,,
,,1028,thinking,,,
,,1029,thinking,,,
,,1030,thinking,,,
,,1031,thinking,,,
,,1004,thinking,,,
,,1008,thinking,,,
,,1012,thinking,,,
,,1015,thinking,,,
,,1016,thinking,,,
,,1018,thinking,,,
,,1020,thinking,,,
,,1022,thinking,,,
,,1023,thinking,,,
,,1023,thinking,,,
,,1024,thinking,,,
,,1024,thinking,,,
,,1024,thinking,,,
,,1025,thinking,,,
,,1026,thinking,,,
,,1026,thinking,,,
,,1015,thinking,,,
,,1017,thinking,,,
,,1019,thinking,,,
,,1020,thinking,,,
,,1021,thinking,,,
,,1023,thinking,,,
,,1024,thinking,,,
,,1025,thinking,,,
,,1021,thinking,,,
,,1021,thinking,,,
,,1022,thinking,,,
,,1023,thinking,,,
,,1023,thinking,,,
,,1019,thinking,,,
,,968,thinking,,,
,,974,thinking,,,
,,978,thinking,,,
,,984,thinking,,,
,,988,thinking,,,
,,992,thinking,,,
,,995,thinking,,,
,,998,thinking,,,
,,1001,thinking,,,
,,1005,thinking,,,
,,1006,thinking,,,
,,1009,thinking,,,
,,1012,thinking,,,
,,1012,thinking,,,
,,1013,thinking,,,
,,1015,thinking,,,
,,1016,thinking,,,
,,1017,thinking,,,
,,1019,thinking,,,
,,1020,thinking,,,
,,1021,thinking,,,
,,1022,thinking,,,
,,1023,thinking,,,
,,1025,thinking,,,
,,1027,thinking,,,
,,1027,thinking,,,
,,1028,thinking,,,
,,1028,thinking,,,
,,1022,thinking,,,
,,1024,thinking,,,
,,1027,thinking,,,
,,1028,thinking,,,
,,1028,thinking,,,
,,1028,thinking,,,
,,1029,thinking,,,
,,1029,thinking,,,
,,1023,thinking,,,
,,1025,thinking,,,
,,1027,thinking,,,
,,1017,thinking,,,
,,1018,thinking,,,
,,1019,thinking,,,
,,1019,thinking,,,
,,1004,thinking,,,
,,1006,thinking,,,
,,1009,thinking,,,
,,1012,thinking,,,
,,1013,thinking,,,
,,1014,thinking,,,
,,1016,thinking,,,
,,1017,thinking,,,
,,1019,thinking,,,
,,1020,thinking,,,
,,1021,thinking,,,
,,1022,thinking,,,
,,1022,thinking,,,
,,1022,thinking,,,
,,1023,thinking,,,
,,1023,thinking,,,
,,1024,thinking,,,
,,1025,thinking,,,
,,1027,thinking,,,
,,1028,thinking,,,
,,1024,thinking,,,
,,1025,thinking,,,
,,1026,thinking,,,
,,1026,thinking,,,
,,1011,thinking,,,
,,1013,thinking,,,
,,1014,thinking,,,
,,1015,thinking,,,
,,1017,thinking,,,
,,1018,thinking,,,
,,1019,thinking,,,
,,1020,thinking,,,
,,1021,thinking,,,
,,1021,thinking,,,
,,1021,thinking,,,
,,1022,thinking,,,
,,1022,thinking,,,
,,1023,thinking,,,
,,1023,thinking,,,
,,1024,thinking,,,
,,999,thinking,,,
,,1002,thinking,,,
,,1005,thinking,,,
,,1010,thinking,,,
,,1012,thinking,,,
,,1014,thinking,,,
,,1016,thinking,,,
,,989,thinking,,,
,,976,thinking,,,
,,977,thinking,,,
,,978,thinking,,,
,,980,thinking,,,
,,983,thinking,,,
,,983,thinking,,,
,,985,thinking,,,
,,987,thinking,,,
,,988,thinking,,,
,,989,thinking,,,
,,991,thinking,,,
,,993,thinking,,,
,,993,thinking,,,
,,993,thinking,,,
,,995,thinking,,,
,,995,thinking,,,
,,995,thinking,,,
,,996,thinking,,,
,,998,thinking,,,
,,1000,thinking,,,
,,1000,thinking,,,
,,1002,thinking,,,
,,1004,thinking,,,
,,1005,thinking,,,
,,1003,thinking,,,
,,1004,thinking,,,
,,1006,thinking,,,
,,1007,thinking,,,
,,1001,thinking,,,
,,1002,thinking,,,
,,1003,thinking,,,
,,1003,thinking,,,
,,1004,thinking,,,
,,1005,thinking,,,
,,1007,thinking,,,
,,1007,thinking,,,
,,1007,thinking,,,
,,1007,thinking,,,
,,1008,thinking,,,
,,1008,thinking,,,
,,985,thinking,,,
,,988,thinking,,,
,,991,thinking,,,
,,993,thinking,,,
,,994,thinking,,,
,,996,thinking,,,
,,998,thinking,,,
,,1000,thinking,,,
,,1001,thinking,,,
,,1004,thinking,,,
,,1007,thinking,,,
,,1008,thinking,,,
,,1009,thinking,,,
,,1010,thinking,,,
,,1010,thinking,,,
,,1011,thinking,,,
,,1011,thinking,,,
,,1012,thinking,,,
,,1012,thinking,,,
,,1014,thinking,,,
,,1016,thinking,,,
,,1017,thinking,,,
,,1019,thinking,,,
,,1019,thinking,,,
,,1020,thinking,,,
,,1005,thinking,,,
,,1007,thinking,,,
,,1008,thinking,,,
,,1009,thinking,,,
,,1012,thinking,,,
,,1014,thinking,,,
,,1015,thinking,,,
,,1016,thinking,,,
,,1017,thinking,,,
,,1017,thinking,,,
,,1017,thinking,,,
,,1017,thinking,,,
,,1018,thinking,,,
,,1021,thinking,,,
,,1017,thinking,,,
,,1018,thinking,,,
,,1020,thinking,,,
,,1023,thinking,,,
,,1024,thinking,,,
,,1025,thinking,,,
,,1026,thinking,,,
,,1027,thinking,,,
,,1028,thinking,,,
,,1030,thinking,,,
,,1031,thinking,,,
,,1034,thinking,,,
,,1034,thinking,,,
,,1035,thinking,,,
,,1037,thinking,,,
,,1038,thinking,,,
,,1039,thinking,,,
,,1040,thinking,,,
,,1041,thinking,,,
,,1041,thinking,,,
,,1041,thinking,,,
,,1042,thinking,,,
,,1043,thinking,,,
,,1044,thinking,,,
,,1034,thinking,,,
,,1035,thinking,,,
,,1035,thinking,,,
,,1036,thinking,,,
,,1037,thinking,,,
,,1038,thinking,,,
,,1036,thinking,,,
,,1030,thinking,,,
,,1031,thinking,,,
,,1032,thinking,,,
,,1032,thinking,,,
,,1032,thinking,,,
,,1022,thinking,,,
,,1023,thinking,,,
,,1023,thinking,,,
,,1008,thinking,,,
,,1004,thinking,,,
,,968,thinking,,,
,,968,thinking,,,
,,971,thinking,,,
,,974,thinking,,,
,,978,thinking,,,
,,981,thinking,,,
,,984,thinking,,,
,,986,thinking,,,
,,987,thinking,,,
